source_id,source_kind,relationship_id,relationship_label,target_id,target_kind,description,properties_json
task_bundle.flood.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.building.fusion.input,data_need,Flood Building And Road Bundle（task_bundle.flood.building_road）声明数据需求dn.task.building.fusion.input（dn.task.building.fusion.input）。,{}
task_bundle.flood.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.road.fusion.input,data_need,Flood Building And Road Bundle（task_bundle.flood.building_road）声明数据需求dn.task.road.fusion.input（dn.task.road.fusion.input）。,{}
task_bundle.typhoon.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.building.fusion.input,data_need,Typhoon Building And Road Bundle（task_bundle.typhoon.building_road）声明数据需求dn.task.building.fusion.input（dn.task.building.fusion.input）。,{}
task_bundle.typhoon.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.road.fusion.input,data_need,Typhoon Building And Road Bundle（task_bundle.typhoon.building_road）声明数据需求dn.task.road.fusion.input（dn.task.road.fusion.input）。,{}
scenario.default.task,scenario_profile,defaults_to_qos,默认服务质量策略,qos.task.default.v1,qos_policy,Default Direct Task Profile（scenario.default.task）默认服务质量策略Direct Task Default QoS（qos.task.default.v1）。,{}
scenario.earthquake.default,scenario_profile,defaults_to_qos,默认服务质量策略,qos.scenario.earthquake.v1,qos_policy,Earthquake Default Scenario（scenario.earthquake.default）默认服务质量策略Earthquake Default QoS（qos.scenario.earthquake.v1）。,{}
scenario.flood.default,scenario_profile,defaults_to_qos,默认服务质量策略,qos.scenario.flood.v1,qos_policy,Flood Default Scenario（scenario.flood.default）默认服务质量策略Flood Default QoS（qos.scenario.flood.v1）。,{}
scenario.typhoon.default,scenario_profile,defaults_to_qos,默认服务质量策略,qos.scenario.typhoon.v1,qos_policy,Typhoon Default Scenario（scenario.typhoon.default）默认服务质量策略Typhoon Default QoS（qos.scenario.typhoon.v1）。,{}
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.conflict_optimized,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.conflict_optimized（dt.building.conflict_optimized）。,"{""step_order"": 11}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.fused_raw,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.fused_raw（dt.building.fused_raw）。,"{""step_order"": 7}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.height_enriched,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.height_enriched（dt.building.height_enriched）。,"{""step_order"": 12}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.match_candidate_graph,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.match_candidate_graph（dt.building.match_candidate_graph）。,"{""step_order"": 4}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.match_components,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.match_components（dt.building.match_components）。,"{""step_order"": 5}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.normalized_set,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.normalized_set（dt.building.normalized_set）。,"{""step_order"": 2}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.presence_validated_set,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.presence_validated_set（dt.building.presence_validated_set）。,"{""step_order"": 3}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.quality_report,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.quality_report（dt.building.quality_report）。,"{""step_order"": 13}"
wp.building.drs4br.decomposed.v1,workflow_pattern,emits_output_type,输出数据类型,dt.building.road_topology_adjusted,data_type,FusionCode DRS4BR Decomposed Building Fusion（wp.building.drs4br.decomposed.v1）输出数据类型dt.building.road_topology_adjusted（dt.building.road_topology_adjusted）。,"{""step_order"": 8}"
wp.earthquake.building.default,workflow_pattern,emits_output_type,输出数据类型,dt.building.fused,data_type,Earthquake Building Fusion（wp.earthquake.building.default）输出数据类型dt.building.fused（dt.building.fused）。,"{""step_order"": 1}"
wp.earthquake.building.safe,workflow_pattern,emits_output_type,输出数据类型,dt.building.fused,data_type,Earthquake Building Fusion Safe Route（wp.earthquake.building.safe）输出数据类型dt.building.fused（dt.building.fused）。,"{""step_order"": 1}"
wp.flood.building.default,workflow_pattern,emits_output_type,输出数据类型,dt.building.fused,data_type,Flood Building Fusion（wp.flood.building.default）输出数据类型dt.building.fused（dt.building.fused）。,"{""step_order"": 1}"
wp.flood.building.safe,workflow_pattern,emits_output_type,输出数据类型,dt.building.fused,data_type,Flood Building Fusion Safe Route（wp.flood.building.safe）输出数据类型dt.building.fused（dt.building.fused）。,"{""step_order"": 1}"
wp.flood.road.default,workflow_pattern,emits_output_type,输出数据类型,dt.road.fused,data_type,Flood Road Conflation V7（wp.flood.road.default）输出数据类型dt.road.fused（dt.road.fused）。,"{""step_order"": 1}"
wp.flood.water.default,workflow_pattern,emits_output_type,输出数据类型,dt.water.fused,data_type,Flood Water Polygon Fusion（wp.flood.water.default）输出数据类型dt.water.fused（dt.water.fused）。,"{""step_order"": 1}"
wp.flood.water_polygon.default,workflow_pattern,emits_output_type,输出数据类型,dt.water.fused,data_type,Flood Water Polygon Priority Merge（wp.flood.water_polygon.default）输出数据类型dt.water.fused（dt.water.fused）。,"{""step_order"": 1}"
wp.flood.waterways.default,workflow_pattern,emits_output_type,输出数据类型,dt.waterways.fused,data_type,Flood Waterways Conflation V7（wp.flood.waterways.default）输出数据类型dt.waterways.fused（dt.waterways.fused）。,"{""step_order"": 1}"
wp.generic.poi.default,workflow_pattern,emits_output_type,输出数据类型,dt.poi.fused,data_type,Generic POI Fusion（wp.generic.poi.default）输出数据类型dt.poi.fused（dt.poi.fused）。,"{""step_order"": 1}"
wp.poi.fusioncode.geohash_priority.v1,workflow_pattern,emits_output_type,输出数据类型,dt.poi.fused,data_type,FusionCode POI Geohash Priority Fusion（wp.poi.fusioncode.geohash_priority.v1）输出数据类型dt.poi.fused（dt.poi.fused）。,"{""step_order"": 1}"
wp.road.fusioncode.conflation.v7,workflow_pattern,emits_output_type,输出数据类型,dt.road.fused,data_type,FusionCode V7 Road Conflation（wp.road.fusioncode.conflation.v7）输出数据类型dt.road.fused（dt.road.fused）。,"{""step_order"": 1}"
wp.typhoon.road.default,workflow_pattern,emits_output_type,输出数据类型,dt.road.fused,data_type,Typhoon Road Conflation V7（wp.typhoon.road.default）输出数据类型dt.road.fused（dt.road.fused）。,"{""step_order"": 1}"
wp.water_polygon.fusioncode.priority_merge.v2,workflow_pattern,emits_output_type,输出数据类型,dt.water.fused,data_type,FusionCode Water Polygon Priority Merge（wp.water_polygon.fusioncode.priority_merge.v2）输出数据类型dt.water.fused（dt.water.fused）。,"{""step_order"": 1}"
